HUE and Delta-E color differences of all IDs

data structure: (cam 1, id 1), (cam 2, id 2), (hue diff), (delta-e diff)
((1, 75), (2, 53), (46), (17))
((1, 75), (2, 6), (43), (31))
((1, 75), (2, 8), (51), (20))
((1, 76), (2, 1), (171), (28))
((1, 76), (2, 11), (177), (31))
((1, 76), (2, 19), (177), (31))
((1, 76), (2, 2), (144), (24))
((1, 76), (2, 20), (166), (26))
((1, 76), (2, 24), (166), (29))
((1, 76), (2, 26), (168), (28))
((1, 76), (2, 28), (181), (26))
((1, 76), (2, 30), (220), (27))
((1, 76), (2, 31), (168), (26))
((1, 76), (2, 32), (171), (30))
((1, 76), (2, 33), (8), (31))
((1, 76), (2, 39), (238), (27))
((1, 76), (2, 44), (175), (37))
((1, 76), (2, 45), (278), (25))
((1, 76), (2, 48), (186), (30))
((1, 76), (2, 49), (181), (31))
((1, 76), (2, 50), (173), (36))
((1, 76), (2, 52), (178), (31))
((1, 76), (2, 53), (168), (33))
((1, 76), (2, 6), (172), (33))
((1, 76), (2, 8), (164), (29))
((1, 8), (2, 1), (65), (20))
((1, 8), (2, 11), (58), (23))
((1, 8), (2, 19), (59), (17))
((1, 8), (2, 2), (91), (30))
((1, 8), (2, 20), (70), (18))
((1, 8), (2, 24), (69), (22))
((1, 8), (2, 26), (67), (28))
((1, 8), (2, 28), (55), (21))
((1, 8), (2, 30), (16), (25))
((1, 8), (2, 31), (68), (21))
((1, 8), (2, 32), (65), (22))
((1, 8), (2, 33), (244), (49))
((1, 8), (2, 39), (2), (31))
((1, 8), (2, 44), (61), (37))
((1, 8), (2, 45), (42), (28))
((1, 8), (2, 48), (49), (35))
((1, 8), (2, 49), (55), (38))
((1, 8), (2, 50), (62), (38))
((1, 8), (2, 52), (57), (18))
((1, 8), (2, 53), (68), (21))
((1, 8), (2, 6), (64), (35))
((1, 8), (2, 8), (72), (25))
((12, 12), (13, 10), (175), (26))
((12, 12), (13, 11), (175), (25))
((12, 12), (13, 13), (33), (8))
((12, 12), (13, 14), (10), (8))
((12, 12), (13, 15), (35), (19))
((12, 12), (13, 16), (186), (28))
((12, 12), (13, 17), (102), (11))
((12, 12), (13, 18), (29), (9))
((12, 12), (13, 19), (19), (10))
((12, 12), (13, 2), (13), (5))
((12, 12), (13, 20), (17), (25))
((12, 12), (13, 21), (20), (6))
((12, 12), (13, 22), (24), (19))
((12, 12), (13, 23), (135), (13))
((12, 12), (13, 24), (10), (13))
((12, 12), (13, 25), (16), (6))
((12, 12), (13, 26), (126), (16))
((12, 12), (13, 27), (121), (24))
((12, 12), (13, 28), (109), (20))
((12, 12), (13, 29), (36), (23))
((12, 12), (13, 3), (2), (22))
((12, 12), (13, 30), (6), (4))
((12, 12), (13, 31), (20), (7))
((12, 12), (13, 32), (32), (9))
((12, 12), (13, 33), (193), (39))
((12, 12), (13, 34), (30), (12))
((12, 12), (13, 35), (9), (42))
((12, 12), (13, 4), (17), (23))
((12, 12), (13, 5), (22), (6))
((12, 12), (13, 6), (22), (9))
((12, 12), (13, 7), (115), (23))
((12, 12), (13, 8), (171), (30))
((12, 12), (13, 9), (51), (11))
((12, 12), (14, 10), (44), (9))
((12, 12), (14, 17), (43), (11))
((12, 12), (14, 18), (61), (27))
((12, 12), (14, 19), (46), (9))
((12, 12), (14, 20), (55), (10))
((12, 12), (14, 22), (72), (28))
((12, 12), (14, 24), (8), (5))
((12, 12), (14, 25), (77), (12))
((12, 12), (14, 26), (35), (9))
((12, 12), (14, 29), (27), (9))
((12, 12), (14, 3), (57), (10))
((12, 12), (14, 31), (14), (8))
((12, 12), (14, 32), (79), (11))
((12, 12), (14, 33), (41), (8))
((12, 12), (14, 38), (57), (12))
((12, 12), (14, 42), (49), (9))
((12, 12), (14, 46), (60), (10))
((12, 12), (14, 47), (34), (9))
((12, 12), (14, 49), (57), (10))
((12, 12), (14, 9), (57), (11))
((12, 13), (13, 10), (185), (22))
((12, 13), (13, 11), (184), (21))
((12, 13), (13, 13), (24), (32))
((12, 13), (13, 14), (0), (47))
((12, 13), (13, 15), (25), (20))
((12, 13), (13, 16), (195), (27))
((12, 13), (13, 17), (93), (35))
((12, 13), (13, 18), (20), (35))
((12, 13), (13, 19), (10), (36))
((12, 13), (13, 2), (3), (41))
((12, 13), (13, 20), (8), (12))
((12, 13), (13, 21), (10), (44))
((12, 13), (13, 22), (15), (16))
((12, 13), (13, 23), (126), (34))
((12, 13), (13, 24), (20), (23))
((12, 13), (13, 25), (7), (34))
((12, 13), (13, 26), (116), (33))
((12, 13), (13, 27), (112), (48))
((12, 13), (13, 28), (100), (39))
((12, 13), (13, 29), (27), (15))
((12, 13), (13, 3), (7), (15))
((12, 13), (13, 30), (3), (43))
((12, 13), (13, 31), (11), (31))
((12, 13), (13, 32), (23), (31))
((12, 13), (13, 33), (202), (14))
((12, 13), (13, 34), (20), (26))
((12, 13), (13, 35), (1), (4))
((12, 13), (13, 4), (8), (15))
((12, 13), (13, 5), (12), (41))
((12, 13), (13, 6), (12), (38))
((12, 13), (13, 7), (106), (42))
((12, 13), (13, 8), (180), (18))
((12, 13), (13, 9), (42), (48))
((12, 13), (14, 10), (35), (37))
((12, 13), (14, 17), (34), (28))
((12, 13), (14, 18), (52), (13))
((12, 13), (14, 19), (36), (36))
((12, 13), (14, 20), (45), (45))
((12, 13), (14, 22), (63), (13))
((12, 13), (14, 24), (18), (35))
((12, 13), (14, 25), (68), (48))
((12, 13), (14, 26), (25), (31))
((12, 13), (14, 29), (18), (29))
((12, 13), (14, 3), (48), (33))
((12, 13), (14, 31), (23), (31))
((12, 13), (14, 32), (69), (33))
((12, 13), (14, 33), (31), (39))
((12, 13), (14, 38), (66), (37))
((12, 13), (14, 42), (39), (42))
((12, 13), (14, 46), (50), (41))
((12, 13), (14, 47), (25), (31))
((12, 13), (14, 49), (48), (32))
((12, 13), (14, 9), (48), (46))
((12, 14), (13, 10), (219), (34))
((12, 14), (13, 11), (218), (33))
((12, 14), (13, 13), (11), (15))
((12, 14), (13, 14), (34), (11))
((12, 14), (13, 15), (9), (22))
((12, 14), (13, 16), (229), (35))
((12, 14), (13, 17), (58), (15))
((12, 14), (13, 18), (14), (10))
((12, 14), (13, 19), (24), (11))
((12, 14), (13, 2), (31), (9))
((12, 14), (13, 20), (27), (32))
((12, 14), (13, 21), (24), (9))
((12, 14), (13, 22), (19), (25))
((12, 14), (13, 23), (91), (17))
((12, 14), (13, 24), (54), (26))
((12, 14), (13, 25), (27), (12))
((12, 14), (13, 26), (82), (17))
((12, 14), (13, 27), (78), (13))
((12, 14), (13, 28), (65), (13))
((12, 14), (13, 29), (7), (28))
((12, 14), (13, 3), (42), (31))
((12, 14), (13, 30), (37), (11))
((12, 14), (13, 31), (23), (14))
((12, 14), (13, 32), (12), (15))
((12, 14), (13, 33), (237), (47))
((12, 14), (13, 34), (14), (17))
((12, 14), (13, 35), (35), (52))
((12, 14), (13, 4), (26), (31))
((12, 14), (13, 5), (22), (11))
((12, 14), (13, 6), (22), (9))
((12, 14), (13, 7), (71), (14))
((12, 14), (13, 8), (215), (38))
((12, 14), (13, 9), (7), (8))
((12, 14), (14, 10), (1), (11))
((12, 14), (14, 17), (0), (17))
((12, 14), (14, 18), (18), (34))
((12, 14), (14, 19), (2), (12))
((12, 14), (14, 20), (11), (7))
((12, 14), (14, 22), (28), (34))
((12, 14), (14, 24), (52), (18))
((12, 14), (14, 25), (33), (10))
((12, 14), (14, 26), (9), (14))
((12, 14), (14, 29), (17), (16))
((12, 14), (14, 3), (13), (14))
((12, 14), (14, 31), (57), (22))
((12, 14), (14, 32), (35), (15))
((12, 14), (14, 33), (3), (10))
((12, 14), (14, 38), (101), (22))
((12, 14), (14, 42), (5), (8))
((12, 14), (14, 46), (16), (10))
((12, 14), (14, 47), (9), (14))
((12, 14), (14, 49), (13), (16))
((12, 14), (14, 9), (13), (7))
((12, 15), (13, 10), (216), (35))
((12, 15), (13, 11), (215), (35))
((12, 15), (13, 13), (8), (16))
((12, 15), (13, 14), (31), (11))
((12, 15), (13, 15), (6), (23))
((12, 15), (13, 16), (226), (36))
((12, 15), (13, 17), (61), (16))
((12, 15), (13, 18), (11), (11))
((12, 15), (13, 19), (21), (12))
((12, 15), (13, 2), (28), (9))
((12, 15), (13, 20), (24), (33))
((12, 15), (13, 21), (21), (9))
((12, 15), (13, 22), (16), (26))
((12, 15), (13, 23), (94), (18))
((12, 15), (13, 24), (51), (26))
((12, 15), (13, 25), (24), (13))
((12, 15), (13, 26), (85), (18))
((12, 15), (13, 27), (81), (14))
((12, 15), (13, 28), (68), (14))
((12, 15), (13, 29), (4), (28))
((12, 15), (13, 3), (39), (32))
((12, 15), (13, 30), (34), (11))
((12, 15), (13, 31), (20), (15))
((12, 15), (13, 32), (9), (16))
((12, 15), (13, 33), (234), (48))
((12, 15), (13, 34), (11), (18))
((12, 15), (13, 35), (32), (53))
((12, 15), (13, 4), (23), (31))
((12, 15), (13, 5), (19), (12))
((12, 15), (13, 6), (19), (9))
((12, 15), (13, 7), (74), (15))
((12, 15), (13, 8), (212), (39))
((12, 15), (13, 9), (10), (9))
((12, 15), (14, 10), (4), (12))
((12, 15), (14, 17), (3), (18))
((12, 15), (14, 18), (21), (35))
((12, 15), (14, 19), (5), (13))
((12, 15), (14, 20), (14), (8))
((12, 15), (14, 22), (31), (35))
((12, 15), (14, 24), (49), (19))
((12, 15), (14, 25), (36), (11))
((12, 15), (14, 26), (6), (15))
((12, 15), (14, 29), (14), (17))
((12, 15), (14, 3), (16), (15))
((12, 15), (14, 31), (54), (23))
((12, 15), (14, 32), (38), (16))
((12, 15), (14, 33), (0), (11))
((12, 15), (14, 38), (98), (23))
((12, 15), (14, 42), (8), (9))
((12, 15), (14, 46), (19), (11))
((12, 15), (14, 47), (6), (15))
((12, 15), (14, 49), (16), (17))
((12, 15), (14, 9), (16), (8))
((12, 17), (13, 10), (208), (32))
((12, 17), (13, 11), (207), (32))
((12, 17), (13, 13), (1), (13))
((12, 17), (13, 14), (22), (7))
((12, 17), (13, 15), (2), (22))
((12, 17), (13, 16), (218), (33))
((12, 17), (13, 17), (70), (13))
((12, 17), (13, 18), (3), (9))
((12, 17), (13, 19), (13), (12))
((12, 17), (13, 2), (20), (7))
((12, 17), (13, 20), (15), (31))
((12, 17), (13, 21), (13), (6))
((12, 17), (13, 22), (8), (25))
((12, 17), (13, 23), (103), (16))
((12, 17), (13, 24), (42), (24))
((12, 17), (13, 25), (16), (11))
((12, 17), (13, 26), (94), (16))
((12, 17), (13, 27), (89), (15))
((12, 17), (13, 28), (77), (14))
((12, 17), (13, 29), (4), (27))
((12, 17), (13, 3), (30), (30))
((12, 17), (13, 30), (26), (8))
((12, 17), (13, 31), (12), (13))
((12, 17), (13, 32), (0), (13))
((12, 17), (13, 33), (225), (46))
((12, 17), (13, 34), (3), (16))
((12, 17), (13, 35), (24), (52))
((12, 17), (13, 4), (15), (31))
((12, 17), (13, 5), (11), (8))
((12, 17), (13, 6), (10), (8))
((12, 17), (13, 7), (83), (16))
((12, 17), (13, 8), (203), (37))
((12, 17), (13, 9), (19), (6))
((12, 17), (14, 10), (12), (9))
((12, 17), (14, 17), (11), (16))
((12, 17), (14, 18), (29), (34))
((12, 17), (14, 19), (13), (10))
((12, 17), (14, 20), (22), (5))
((12, 17), (14, 22), (40), (34))
((12, 17), (14, 24), (41), (16))
((12, 17), (14, 25), (45), (8))
((12, 17), (14, 26), (2), (13))
((12, 17), (14, 29), (5), (15))
((12, 17), (14, 3), (25), (12))
((12, 17), (14, 31), (46), (20))
((12, 17), (14, 32), (46), (14))
((12, 17), (14, 33), (9), (8))
((12, 17), (14, 38), (89), (20))
((12, 17), (14, 42), (16), (7))
((12, 17), (14, 46), (28), (8))
((12, 17), (14, 47), (2), (13))
((12, 17), (14, 49), (25), (14))
((12, 17), (14, 9), (25), (5))
((12, 18), (13, 10), (182), (26))
((12, 18), (13, 11), (182), (26))
((12, 18), (13, 13), (26), (8))
((12, 18), (13, 14), (3), (9))
((12, 18), (13, 15), (28), (17))
((12, 18), (13, 16), (193), (29))
((12, 18), (13, 17), (95), (11))
((12, 18), (13, 18), (22), (6))
((12, 18), (13, 19), (12), (6))
((12, 18), (13, 2), (6), (3))
((12, 18), (13, 20), (10), (24))
((12, 18), (13, 21), (12), (6))
((12, 18), (13, 22), (17), (18))
((12, 18), (13, 23), (128), (13))
((12, 18), (13, 24), (17), (15))
((12, 18), (13, 25), (9), (4))
((12, 18), (13, 26), (119), (15))
((12, 18), (13, 27), (114), (21))
((12, 18), (13, 28), (102), (17))
((12, 18), (13, 29), (29), (21))
((12, 18), (13, 3), (5), (22))
((12, 18), (13, 30), (1), (5))
((12, 18), (13, 31), (13), (6))
((12, 18), (13, 32), (25), (8))
((12, 18), (13, 33), (200), (38))
((12, 18), (13, 34), (23), (10))
((12, 18), (13, 35), (2), (41))
((12, 18), (13, 4), (10), (22))
((12, 18), (13, 5), (15), (6))
((12, 18), (13, 6), (15), (5))
((12, 18), (13, 7), (108), (20))
((12, 18), (13, 8), (178), (30))
((12, 18), (13, 9), (44), (11))
((12, 18), (14, 10), (37), (7))
((12, 18), (14, 17), (36), (10))
((12, 18), (14, 18), (54), (27))
((12, 18), (14, 19), (38), (8))
((12, 18), (14, 20), (48), (10))
((12, 18), (14, 22), (65), (27))
((12, 18), (14, 24), (15), (8))
((12, 18), (14, 25), (70), (13))
((12, 18), (14, 26), (28), (8))
((12, 18), (14, 29), (20), (9))
((12, 18), (14, 3), (50), (9))
((12, 18), (14, 31), (21), (11))
((12, 18), (14, 32), (71), (11))
((12, 18), (14, 33), (34), (7))
((12, 18), (14, 38), (64), (14))
((12, 18), (14, 42), (41), (8))
((12, 18), (14, 46), (53), (9))
((12, 18), (14, 47), (27), (8))
((12, 18), (14, 49), (50), (10))
((12, 18), (14, 9), (50), (10))
((12, 19), (13, 10), (184), (19))
((12, 19), (13, 11), (183), (17))
((12, 19), (13, 13), (25), (28))
((12, 19), (13, 14), (2), (40))
((12, 19), (13, 15), (26), (17))
((12, 19), (13, 16), (194), (24))
((12, 19), (13, 17), (94), (31))
((12, 19), (13, 18), (21), (31))
((12, 19), (13, 19), (11), (32))
((12, 19), (13, 2), (4), (36))
((12, 19), (13, 20), (9), (8))
((12, 19), (13, 21), (11), (38))
((12, 19), (13, 22), (16), (13))
((12, 19), (13, 23), (127), (30))
((12, 19), (13, 24), (18), (19))
((12, 19), (13, 25), (8), (30))
((12, 19), (13, 26), (118), (29))
((12, 19), (13, 27), (113), (43))
((12, 19), (13, 28), (101), (35))
((12, 19), (13, 29), (28), (12))
((12, 19), (13, 3), (6), (11))
((12, 19), (13, 30), (2), (37))
((12, 19), (13, 31), (12), (28))
((12, 19), (13, 32), (24), (27))
((12, 19), (13, 33), (201), (12))
((12, 19), (13, 34), (21), (22))
((12, 19), (13, 35), (0), (7))
((12, 19), (13, 4), (9), (13))
((12, 19), (13, 5), (13), (36))
((12, 19), (13, 6), (14), (33))
((12, 19), (13, 7), (107), (38))
((12, 19), (13, 8), (179), (15))
((12, 19), (13, 9), (43), (41))
((12, 19), (14, 10), (36), (32))
((12, 19), (14, 17), (35), (25))
((12, 19), (14, 18), (53), (10))
((12, 19), (14, 19), (37), (31))
((12, 19), (14, 20), (47), (39))
((12, 19), (14, 22), (64), (10))
((12, 19), (14, 24), (17), (31))
((12, 19), (14, 25), (69), (42))
((12, 19), (14, 26), (26), (27))
((12, 19), (14, 29), (19), (25))
((12, 19), (14, 3), (49), (29))
((12, 19), (14, 31), (22), (27))
((12, 19), (14, 32), (70), (29))
((12, 19), (14, 33), (33), (34))
((12, 19), (14, 38), (65), (33))
((12, 19), (14, 42), (40), (36))
((12, 19), (14, 46), (52), (36))
((12, 19), (14, 47), (26), (27))
((12, 19), (14, 49), (49), (28))
((12, 19), (14, 9), (49), (40))
((12, 20), (13, 10), (186), (9))
((12, 20), (13, 11), (185), (8))
((12, 20), (13, 13), (22), (15))
((12, 20), (13, 14), (1), (26))
((12, 20), (13, 15), (24), (13))
((12, 20), (13, 16), (196), (15))
((12, 20), (13, 17), (91), (17))
((12, 20), (13, 18), (19), (19))
((12, 20), (13, 19), (9), (22))
((12, 20), (13, 2), (2), (22))
((12, 20), (13, 20), (6), (5))
((12, 20), (13, 21), (9), (24))
((12, 20), (13, 22), (14), (6))
((12, 20), (13, 23), (124), (16))
((12, 20), (13, 24), (21), (9))
((12, 20), (13, 25), (6), (17))
((12, 20), (13, 26), (115), (16))
((12, 20), (13, 27), (110), (30))
((12, 20), (13, 28), (98), (23))
((12, 20), (13, 29), (26), (9))
((12, 20), (13, 3), (9), (2))
((12, 20), (13, 30), (5), (23))
((12, 20), (13, 31), (10), (15))
((12, 20), (13, 32), (21), (14))
((12, 20), (13, 33), (204), (14))
((12, 20), (13, 34), (19), (12))
((12, 20), (13, 35), (2), (18))
((12, 20), (13, 4), (7), (17))
((12, 20), (13, 5), (11), (21))
((12, 20), (13, 6), (11), (21))
((12, 20), (13, 7), (104), (26))
((12, 20), (13, 8), (182), (10))
((12, 20), (13, 9), (40), (27))
((12, 20), (14, 10), (34), (18))
((12, 20), (14, 17), (33), (12))
((12, 20), (14, 18), (51), (6))
((12, 20), (14, 19), (35), (17))
((12, 20), (14, 20), (44), (24))
((12, 20), (14, 22), (61), (7))
((12, 20), (14, 24), (19), (17))
((12, 20), (14, 25), (66), (27))
((12, 20), (14, 26), (24), (15))
((12, 20), (14, 29), (16), (13))
((12, 20), (14, 3), (46), (16))
((12, 20), (14, 31), (24), (15))
((12, 20), (14, 32), (68), (15))
((12, 20), (14, 33), (30), (20))
((12, 20), (14, 38), (68), (18))
((12, 20), (14, 42), (38), (22))
((12, 20), (14, 46), (49), (21))
((12, 20), (14, 47), (23), (15))
((12, 20), (14, 49), (46), (15))
((12, 20), (14, 9), (46), (25))
((12, 21), (13, 10), (190), (30))
((12, 21), (13, 11), (189), (30))
((12, 21), (13, 13), (19), (12))
((12, 21), (13, 14), (5), (2))
((12, 21), (13, 15), (20), (23))
((12, 21), (13, 16), (200), (32))
((12, 21), (13, 17), (88), (12))
((12, 21), (13, 18), (15), (10))
((12, 21), (13, 19), (5), (13))
((12, 21), (13, 2), (2), (5))
((12, 21), (13, 20), (3), (31))
((12, 21), (13, 21), (5), (2))
((12, 21), (13, 22), (10), (25))
((12, 21), (13, 23), (121), (14))
((12, 21), (13, 24), (25), (21))
((12, 21), (13, 25), (2), (10))
((12, 21), (13, 26), (111), (16))
((12, 21), (13, 27), (107), (18))
((12, 21), (13, 28), (95), (17))
((12, 21), (13, 29), (22), (28))
((12, 21), (13, 3), (12), (28))
((12, 21), (13, 30), (8), (4))
((12, 21), (13, 31), (6), (11))
((12, 21), (13, 32), (18), (12))
((12, 21), (13, 33), (207), (45))
((12, 21), (13, 34), (15), (16))
((12, 21), (13, 35), (6), (51))
((12, 21), (13, 4), (3), (31))
((12, 21), (13, 5), (7), (5))
((12, 21), (13, 6), (7), (10))
((12, 21), (13, 7), (101), (19))
((12, 21), (13, 8), (185), (35))
((12, 21), (13, 9), (37), (4))
((12, 21), (14, 10), (30), (9))
((12, 21), (14, 17), (29), (15))
((12, 21), (14, 18), (47), (33))
((12, 21), (14, 19), (31), (10))
((12, 21), (14, 20), (40), (5))
((12, 21), (14, 22), (58), (33))
((12, 21), (14, 24), (23), (12))
((12, 21), (14, 25), (63), (6))
((12, 21), (14, 26), (20), (12))
((12, 21), (14, 29), (13), (14))
((12, 21), (14, 3), (43), (12))
((12, 21), (14, 31), (28), (16))
((12, 21), (14, 32), (64), (13))
((12, 21), (14, 33), (26), (7))
((12, 21), (14, 38), (71), (16))
((12, 21), (14, 42), (34), (6))
((12, 21), (14, 46), (45), (7))
((12, 21), (14, 47), (20), (12))
((12, 21), (14, 49), (43), (13))
((12, 21), (14, 9), (43), (5))
((12, 22), (13, 10), (209), (30))
((12, 22), (13, 11), (208), (29))
((12, 22), (13, 13), (0), (10))
((12, 22), (13, 14), (23), (6))
((12, 22), (13, 15), (1), (21))
((12, 22), (13, 16), (219), (31))
((12, 22), (13, 17), (69), (10))
((12, 22), (13, 18), (4), (7))
((12, 22), (13, 19), (14), (11))
((12, 22), (13, 2), (21), (5))
((12, 22), (13, 20), (16), (29))
((12, 22), (13, 21), (14), (3))
((12, 22), (13, 22), (9), (23))
((12, 22), (13, 23), (102), (13))
((12, 22), (13, 24), (44), (21))
((12, 22), (13, 25), (17), (9))
((12, 22), (13, 26), (93), (14))
((12, 22), (13, 27), (88), (15))
((12, 22), (13, 28), (76), (13))
((12, 22), (13, 29), (3), (25))
((12, 22), (13, 3), (31), (27))
((12, 22), (13, 30), (27), (6))
((12, 22), (13, 31), (13), (10))
((12, 22), (13, 32), (1), (11))
((12, 22), (13, 33), (226), (43))
((12, 22), (13, 34), (4), (14))
((12, 22), (13, 35), (25), (49))
((12, 22), (13, 4), (16), (30))
((12, 22), (13, 5), (12), (6))
((12, 22), (13, 6), (11), (7))
((12, 22), (13, 7), (82), (15))
((12, 22), (13, 8), (204), (34))
((12, 22), (13, 9), (18), (4))
((12, 22), (14, 10), (11), (7))
((12, 22), (14, 17), (10), (13))
((12, 22), (14, 18), (28), (31))
((12, 22), (14, 19), (12), (8))
((12, 22), (14, 20), (21), (3))
((12, 22), (14, 22), (39), (31))
((12, 22), (14, 24), (42), (13))
((12, 22), (14, 25), (44), (6))
((12, 22), (14, 26), (1), (10))
((12, 22), (14, 29), (6), (12))
((12, 22), (14, 3), (24), (10))
((12, 22), (14, 31), (47), (18))
((12, 22), (14, 32), (45), (11))
((12, 22), (14, 33), (8), (6))
((12, 22), (14, 38), (90), (17))
((12, 22), (14, 42), (15), (4))
((12, 22), (14, 46), (26), (5))
((12, 22), (14, 47), (1), (10))
((12, 22), (14, 49), (24), (11))
((12, 22), (14, 9), (24), (3))
((12, 23), (13, 10), (190), (27))
((12, 23), (13, 11), (190), (27))
((12, 23), (13, 13), (18), (8))
((12, 23), (13, 14), (5), (6))
((12, 23), (13, 15), (20), (18))
((12, 23), (13, 16), (201), (29))
((12, 23), (13, 17), (87), (10))
((12, 23), (13, 18), (14), (5))
((12, 23), (13, 19), (4), (9))
((12, 23), (13, 2), (2), (1))
((12, 23), (13, 20), (2), (26))
((12, 23), (13, 21), (4), (3))
((12, 23), (13, 22), (9), (20))
((12, 23), (13, 23), (120), (12))
((12, 23), (13, 24), (25), (17))
((12, 23), (13, 25), (1), (5))
((12, 23), (13, 26), (111), (14))
((12, 23), (13, 27), (106), (18))
((12, 23), (13, 28), (94), (14))
((12, 23), (13, 29), (21), (23))
((12, 23), (13, 3), (13), (24))
((12, 23), (13, 30), (9), (3))
((12, 23), (13, 31), (5), (7))
((12, 23), (13, 32), (17), (8))
((12, 23), (13, 33), (208), (40))
((12, 23), (13, 34), (15), (11))
((12, 23), (13, 35), (6), (44))
((12, 23), (13, 4), (2), (26))
((12, 23), (13, 5), (7), (4))
((12, 23), (13, 6), (7), (5))
((12, 23), (13, 7), (100), (18))
((12, 23), (13, 8), (186), (31))
((12, 23), (13, 9), (36), (7))
((12, 23), (14, 10), (29), (5))
((12, 23), (14, 17), (28), (11))
((12, 23), (14, 18), (46), (28))
((12, 23), (14, 19), (30), (6))
((12, 23), (14, 20), (40), (6))
((12, 23), (14, 22), (57), (29))
((12, 23), (14, 24), (23), (9))
((12, 23), (14, 25), (62), (9))
((12, 23), (14, 26), (20), (8))
((12, 23), (14, 29), (12), (9))
((12, 23), (14, 3), (42), (8))
((12, 23), (14, 31), (29), (13))
((12, 23), (14, 32), (63), (10))
((12, 23), (14, 33), (26), (4))
((12, 23), (14, 38), (72), (15))
((12, 23), (14, 42), (33), (5))
((12, 23), (14, 46), (45), (6))
((12, 23), (14, 47), (19), (8))
((12, 23), (14, 49), (42), (9))
((12, 23), (14, 9), (42), (6))
((12, 25), (13, 10), (177), (18))
((12, 25), (13, 11), (177), (17))
((12, 25), (13, 13), (31), (12))
((12, 25), (13, 14), (8), (21))
((12, 25), (13, 15), (33), (10))
((12, 25), (13, 16), (188), (24))
((12, 25), (13, 17), (100), (16))
((12, 25), (13, 18), (27), (14))
((12, 25), (13, 19), (17), (14))
((12, 25), (13, 2), (11), (16))
((12, 25), (13, 20), (15), (11))
((12, 25), (13, 21), (18), (19))
((12, 25), (13, 22), (23), (8))
((12, 25), (13, 23), (133), (17))
((12, 25), (13, 24), (12), (6))
((12, 25), (13, 25), (14), (12))
((12, 25), (13, 26), (124), (18))
((12, 25), (13, 27), (119), (30))
((12, 25), (13, 28), (107), (23))
((12, 25), (13, 29), (34), (11))
((12, 25), (13, 3), (0), (10))
((12, 25), (13, 30), (4), (17))
((12, 25), (13, 31), (18), (11))
((12, 25), (13, 32), (30), (11))
((12, 25), (13, 33), (195), (23))
((12, 25), (13, 34), (28), (9))
((12, 25), (13, 35), (7), (23))
((12, 25), (13, 4), (15), (10))
((12, 25), (13, 5), (20), (17))
((12, 25), (13, 6), (20), (15))
((12, 25), (13, 7), (113), (26))
((12, 25), (13, 8), (173), (19))
((12, 25), (13, 9), (49), (23))
((12, 25), (14, 10), (42), (15))
((12, 25), (14, 17), (41), (11))
((12, 25), (14, 18), (59), (15))
((12, 25), (14, 19), (44), (15))
((12, 25), (14, 20), (53), (21))
((12, 25), (14, 22), (70), (16))
((12, 25), (14, 24), (10), (12))
((12, 25), (14, 25), (75), (24))
((12, 25), (14, 26), (33), (12))
((12, 25), (14, 29), (25), (10))
((12, 25), (14, 3), (55), (14))
((12, 25), (14, 31), (16), (10))
((12, 25), (14, 32), (77), (15))
((12, 25), (14, 33), (39), (16))
((12, 25), (14, 38), (59), (17))
((12, 25), (14, 42), (47), (18))
((12, 25), (14, 46), (58), (18))
((12, 25), (14, 47), (32), (11))
((12, 25), (14, 49), (55), (13))
((12, 25), (14, 9), (55), (22))
((12, 26), (13, 10), (198), (29))
((12, 26), (13, 11), (197), (28))
((12, 26), (13, 13), (11), (9))
((12, 26), (13, 14), (12), (7))
((12, 26), (13, 15), (12), (19))
((12, 26), (13, 16), (208), (30))
((12, 26), (13, 17), (80), (10))
((12, 26), (13, 18), (7), (5))
((12, 26), (13, 19), (3), (9))
((12, 26), (13, 2), (9), (2))
((12, 26), (13, 20), (5), (27))
((12, 26), (13, 21), (2), (3))
((12, 26), (13, 22), (2), (21))
((12, 26), (13, 23), (113), (13))
((12, 26), (13, 24), (32), (19))
((12, 26), (13, 25), (6), (6))
((12, 26), (13, 26), (104), (14))
((12, 26), (13, 27), (99), (16))
((12, 26), (13, 28), (87), (13))
((12, 26), (13, 29), (14), (23))
((12, 26), (13, 3), (20), (25))
((12, 26), (13, 30), (16), (5))
((12, 26), (13, 31), (2), (8))
((12, 26), (13, 32), (10), (9))
((12, 26), (13, 33), (215), (42))
((12, 26), (13, 34), (8), (12))
((12, 26), (13, 35), (13), (46))
((12, 26), (13, 4), (5), (27))
((12, 26), (13, 5), (0), (5))
((12, 26), (13, 6), (0), (5))
((12, 26), (13, 7), (93), (16))
((12, 26), (13, 8), (193), (33))
((12, 26), (13, 9), (29), (7))
((12, 26), (14, 10), (22), (6))
((12, 26), (14, 17), (21), (12))
((12, 26), (14, 18), (39), (30))
((12, 26), (14, 19), (23), (7))
((12, 26), (14, 20), (33), (5))
((12, 26), (14, 22), (50), (30))
((12, 26), (14, 24), (30), (12))
((12, 26), (14, 25), (55), (9))
((12, 26), (14, 26), (13), (8))
((12, 26), (14, 29), (5), (11))
((12, 26), (14, 3), (35), (9))
((12, 26), (14, 31), (36), (15))
((12, 26), (14, 32), (56), (10))
((12, 26), (14, 33), (19), (5))
((12, 26), (14, 38), (79), (16))
((12, 26), (14, 42), (26), (4))
((12, 26), (14, 46), (38), (6))
